image_id,gt_id,class_id,direction,size_bin,width,height,area,stratum,sampling_weight,scan_limit,scan_limit_reason,scan_limit_float32_guard_pixels,o2o_base_active,o2o_base_runner,o2o_base_margin,rho_R_base_q_active,rho_R_base_q_runner,rho_R_base_q_gap,o2m_legacy_base,o2m_pre_topk_base,o2m_assigned_positive_base,o2m_positive_count_base,o2o_event_observed,o2o_radius,o2o_right_censored,o2o_censor_radius,o2o_censor_reason,o2o_bracket_low,o2o_bracket_high,o2m_legacy_event_observed,o2m_legacy_radius,o2m_legacy_right_censored,o2m_legacy_censor_radius,o2m_legacy_censor_reason,o2m_legacy_bracket_low,o2m_legacy_bracket_high,o2m_pre_topk_event_observed,o2m_pre_topk_radius,o2m_pre_topk_right_censored,o2m_pre_topk_censor_radius,o2m_pre_topk_censor_reason,o2m_pre_topk_bracket_low,o2m_pre_topk_bracket_high,o2m_assigned_positive_event_observed,o2m_assigned_positive_radius,o2m_assigned_positive_right_censored,o2m_assigned_positive_censor_radius,o2m_assigned_positive_censor_reason,o2m_assigned_positive_bracket_low,o2m_assigned_positive_bracket_high,rho_R_event_observed,rho_R_radius,rho_R_right_censored,rho_R_competing_censored,rho_R_censor_radius,rho_R_censor_reason,rho_R_bracket_low,rho_R_bracket_high,o2o_event_active,o2o_first_divergence
860__1200_2417,78,5,up,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7609,7709,0.8001717437690886,0.34052231907844543,0.06804598122835159,0.27247633785009384,11904,11904,11904,3,0,,1,0.25,rmax,,,1,0.1123046875,0,,,0.111328125,0.1123046875,1,0.1123046875,0,,,0.111328125,0.1123046875,1,0.1123046875,0,,,0.111328125,0.1123046875,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,78,5,down,t_8_16,10.0,14.0,140.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7609,7709,0.8001717437690886,0.34052231907844543,0.06804598122835159,0.27247633785009384,11904,11904,11904,3,1,0.169921875,0,,,0.1689453125,0.169921875,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,0,1,0.169921875,eligibility_boundary,0.1689453125,0.169921875,7709,eligibility_boundary
860__1200_2417,79,5,left,s_16_32,12.0,22.0,264.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7810,11955,0.9904060426757059,0.09236246347427368,0.0008861215319484472,0.09147634194232523,7710,7710,7710,5,0,,1,0.25,rmax,,,1,0.064453125,0,,,0.0634765625,0.064453125,1,0.064453125,0,,,0.0634765625,0.064453125,1,0.064453125,0,,,0.0634765625,0.064453125,0,,0,1,0.2470703125,eligibility_boundary,0.24609375,0.2470703125,,right_censored
860__1200_2417,79,5,right,s_16_32,12.0,22.0,264.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7810,11955,0.9904060426757059,0.09236246347427368,0.0008861215319484472,0.09147634194232523,7710,7710,7710,5,1,0.2470703125,0,,,0.24609375,0.2470703125,1,0.2470703125,0,,,0.24609375,0.2470703125,1,0.2470703125,0,,,0.24609375,0.2470703125,1,0.2470703125,0,,,0.24609375,0.2470703125,0,,0,1,0.2470703125,eligibility_boundary,0.24609375,0.2470703125,7811,eligibility_boundary
860__1200_2417,79,5,up,s_16_32,12.0,22.0,264.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7810,11955,0.9904060426757059,0.09236246347427368,0.0008861215319484472,0.09147634194232523,7710,7710,7710,5,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,79,5,down,s_16_32,12.0,22.0,264.0,t_and_s,44.130434782608695,0.25,rmax,0.0,7810,11955,0.9904060426757059,0.09236246347427368,0.0008861215319484472,0.09147634194232523,7710,7710,7710,5,0,,1,0.25,rmax,,,1,0.09375,0,,,0.0927734375,0.09375,1,0.09375,0,,,0.0927734375,0.09375,1,0.09375,0,,,0.0927734375,0.09375,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,80,5,left,t_8_16,8.0,14.0,112.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8111,8011,0.9699103716856459,0.12332479655742645,0.0037107972893863916,0.11961399926804006,8111,8111,8111,3,0,,1,0.25,rmax,,,1,0.0107421875,0,,,0.009765625,0.0107421875,1,0.0107421875,0,,,0.009765625,0.0107421875,1,0.0107421875,0,,,0.009765625,0.0107421875,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,80,5,right,t_8_16,8.0,14.0,112.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8111,8011,0.9699103716856459,0.12332479655742645,0.0037107972893863916,0.11961399926804006,8111,8111,8111,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,80,5,up,t_8_16,8.0,14.0,112.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8111,8011,0.9699103716856459,0.12332479655742645,0.0037107972893863916,0.11961399926804006,8111,8111,8111,3,0,,1,0.25,rmax,,,1,0.0234375,0,,,0.0224609375,0.0234375,1,0.0234375,0,,,0.0224609375,0.0234375,1,0.0234375,0,,,0.0224609375,0.0234375,0,,1,0,0.25,rmax,,,,right_censored
860__1200_2417,80,5,down,t_8_16,8.0,14.0,112.0,t_and_s,44.130434782608695,0.25,rmax,0.0,8111,8011,0.9699103716856459,0.12332479655742645,0.0037107972893863916,0.11961399926804006,8111,8111,8111,3,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0.25,rmax,,,0,,1,0,0.25,rmax,,,,right_censored
