size_group,estimand,radius,metric,n_rows,estimate,ci_low,ci_high
all,o2m_pre_topk,0.0625,mean_jaccard_among_rank_changed,5935,0.8940821330311716,0.8846697501005929,0.9022255891819216
all,o2m_pre_topk,0.0625,mean_retention_among_rank_changed,5935,0.9830960889214853,0.9796806665157147,0.9863815396183755
all,o2m_assigned_positive,0.0625,rank_changed_rate,28885,0.2029864374524465,0.18882718178450442,0.21774364424242093
all,o2m_assigned_positive,0.0625,set_exact_changed_rate,28885,0.20347131968748997,0.1882068563662601,0.2188221662203255
all,o2m_assigned_positive,0.0625,rank_changed_set_exact_same_rate,28885,0.14467845738279214,0.13436568374708716,0.1550390565006028
all,o2m_assigned_positive,0.0625,rank_minus_set_exact_change_rate,28885,-0.00048488223504356893,-0.013877615506949801,0.011080903737053668
all,o2m_assigned_positive,0.0625,mean_jaccard,28885,0.9297410268257845,0.9257605012955247,0.9336699511794704
all,o2m_assigned_positive,0.0625,mean_retention,28885,0.9890285632063404,0.9868424958103512,0.9909288541748646
all,o2m_assigned_positive,0.0625,mean_jaccard_among_rank_changed,5863,0.8975500023182629,0.8905100672640847,0.9040542056972558
all,o2m_assigned_positive,0.0625,mean_retention_among_rank_changed,5863,0.9818036158800151,0.9781105657475019,0.985285546607834
t_8_16,o2m_legacy,0.0625,rank_changed_rate,25230,0.185613879114537,0.17387279433793867,0.19805568435394766
t_8_16,o2m_legacy,0.0625,set_exact_changed_rate,25230,0.16060781227497464,0.15224420189267593,0.1687545182955104
t_8_16,o2m_legacy,0.0625,rank_changed_set_exact_same_rate,25230,0.14249110952856733,0.1322424510220889,0.15319656619933147
t_8_16,o2m_legacy,0.0625,rank_minus_set_exact_change_rate,25230,0.02500606683956223,0.015847196237915546,0.03479873747871764
t_8_16,o2m_legacy,0.0625,mean_jaccard,25230,0.9372267262955015,0.9344698726082532,0.9399743400577718
t_8_16,o2m_legacy,0.0625,mean_retention,25230,0.9957551653163018,0.9949264586847396,0.9964910102264561
t_8_16,o2m_legacy,0.0625,mean_jaccard_among_rank_changed,4683,0.9015580430298535,0.8902422466082693,0.9111887266594559
t_8_16,o2m_legacy,0.0625,mean_retention_among_rank_changed,4683,0.9942184086538389,0.9922544016405663,0.9959961221948144
t_8_16,o2m_pre_topk,0.0625,rank_changed_rate,25230,0.185613879114537,0.17387279433793867,0.19805568435394766
t_8_16,o2m_pre_topk,0.0625,set_exact_changed_rate,25230,0.16060781227497464,0.15224420189267593,0.1687545182955104
t_8_16,o2m_pre_topk,0.0625,rank_changed_set_exact_same_rate,25230,0.14249110952856733,0.1322424510220889,0.15319656619933147
t_8_16,o2m_pre_topk,0.0625,rank_minus_set_exact_change_rate,25230,0.02500606683956223,0.015847196237915546,0.03479873747871764
t_8_16,o2m_pre_topk,0.0625,mean_jaccard,25230,0.9372267262955015,0.9344698726082532,0.9399743400577718
t_8_16,o2m_pre_topk,0.0625,mean_retention,25230,0.9957551653163018,0.9949264586847396,0.9964910102264561
t_8_16,o2m_pre_topk,0.0625,mean_jaccard_among_rank_changed,4683,0.9015580430298535,0.8902422466082693,0.9111887266594559
t_8_16,o2m_pre_topk,0.0625,mean_retention_among_rank_changed,4683,0.9942184086538389,0.9922544016405663,0.9959961221948144
t_8_16,o2m_assigned_positive,0.0625,rank_changed_rate,24951,0.1848871128162069,0.1723400222095219,0.19776439498055273
t_8_16,o2m_assigned_positive,0.0625,set_exact_changed_rate,24951,0.1604005887133806,0.15196604852866255,0.16879155984875477
