image_id,size_bin,sampling_weight,o2o_base_margin,rho_R_event_observed,rho_R_radius
0efd60e89,t_8_16,43.8625,0.1299334200615033,1,0.025390625
0fd1536b1,t_8_16,43.8625,0.9261253326310284,1,0.2294921875
105__1800_1914,t_8_16,44.130434782608695,0.2978752867124892,1,0.03125
105__1800_1914,t_8_16,44.130434782608695,0.2978752867124892,1,0.0244140625
105__1800_1914,t_8_16,44.130434782608695,0.1016265289901569,1,0.0107421875
105__1800_1914,t_8_16,44.130434782608695,0.0952414954850737,1,0.1640625
105__1800_1914,t_8_16,44.130434782608695,0.0952414954850737,1,0.0048828125
105__1800_1914,t_8_16,44.130434782608695,0.1073276453664122,1,0.005859375
105__1800_1914,t_8_16,44.130434782608695,0.1073276453664122,1,0.1328125
105__1800_1914,t_8_16,44.130434782608695,0.6744156403606189,1,0.0419921875
105__1800_1914,t_8_16,44.130434782608695,0.1265704587614601,1,0.03125
105__1800_1914,t_8_16,44.130434782608695,0.1265704587614601,1,0.029296875
105__1800_1914,t_8_16,44.130434782608695,0.7147746081967385,1,0.236328125
105__1800_1914,t_8_16,44.130434782608695,0.066451526032769,1,0.04296875
105__1800_1914,t_8_16,44.130434782608695,0.066451526032769,1,0.0029296875
10660,t_8_16,44.130434782608695,0.8179094601819473,1,0.197265625
106__2400_1914,t_8_16,44.130434782608695,0.8390280678830612,1,0.076171875
106__2400_1914,t_8_16,44.130434782608695,0.8902754767587423,1,0.2099609375
106__2400_1914,t_8_16,44.130434782608695,0.893036665219059,1,0.1669921875
1080__0_600,s_16_32,44.130434782608695,0.2920685678184757,1,0.1923828125
1080__0_600,s_16_32,44.130434782608695,0.2920685678184757,1,0.1865234375
1080__0_600,t_8_16,44.130434782608695,0.9518013795110408,1,0.220703125
1091__600_2216,t_8_16,43.8625,0.4155583236781315,1,0.1103515625
1121__0_0,t_8_16,44.130434782608695,0.925451836533203,1,0.1328125
1121__0_0,t_8_16,44.130434782608695,0.7903854090894467,1,0.095703125
1121__0_0,t_8_16,44.130434782608695,0.0401129284589331,1,0.0390625
1121__0_0,t_8_16,44.130434782608695,0.0401129284589331,1,0.0966796875
1121__0_0,t_8_16,44.130434782608695,0.9658167123519564,1,0.2197265625
1121__0_0,t_8_16,44.130434782608695,0.951945035634321,1,0.091796875
1150__1800_1200,t_8_16,43.8625,0.6561946524691835,1,0.0322265625
1150__1800_1200,t_8_16,43.8625,0.1736138793289358,1,0.0693359375
1158__2033_0,t_8_16,44.130434782608695,0.2961833044367056,1,0.0439453125
1158__2033_0,t_8_16,44.130434782608695,0.0269807229475656,1,0.001953125
1158__2033_0,t_8_16,44.130434782608695,0.0269807229475656,1,0.0703125
1158__2033_0,t_8_16,44.130434782608695,0.293917279835124,1,0.103515625
1158__2033_0,t_8_16,44.130434782608695,0.9745974418194358,1,0.1240234375
1180__0_1800,t_8_16,44.130434782608695,0.5015312853093477,1,0.0390625
1180__0_1800,t_8_16,44.130434782608695,0.9614282657601396,1,0.12890625
1180__0_1800,t_8_16,44.130434782608695,0.9257084247046792,1,0.138671875
1180__0_1800,t_8_16,44.130434782608695,0.9999923801239828,1,0.1845703125
1180__0_1800,t_8_16,44.130434782608695,0.24156566748071,1,0.0810546875
1180__0_1800,t_8_16,44.130434782608695,0.2517649146727751,1,0.046875
1180__0_1800,t_8_16,44.130434782608695,0.996718649458587,1,0.2294921875
1180__0_1800,t_8_16,44.130434782608695,0.3034191607604388,1,0.064453125
1180__0_1800,t_8_16,44.130434782608695,0.3034191607604388,1,0.142578125
1180__0_1800,t_8_16,44.130434782608695,0.895071667185624,1,0.134765625
1180__0_1800,t_8_16,44.130434782608695,0.5534765946820568,1,0.0439453125
1180__0_1800,t_8_16,44.130434782608695,0.9786232396877578,1,0.123046875
1180__0_1800,t_8_16,44.130434782608695,0.0699987322277122,1,0.1884765625
1180__0_1800,t_8_16,44.130434782608695,0.1375039765935028,1,0.009765625
1180__0_1800,t_8_16,44.130434782608695,0.536776339504327,1,0.09765625
1182__600_1800,t_8_16,43.8625,0.1856816466123863,1,0.01953125
1182__600_1800,t_8_16,43.8625,0.1856816466123863,1,0.0107421875
1182__600_1800,t_8_16,43.8625,0.4567352412446165,1,0.15234375
1182__600_1800,t_8_16,43.8625,0.4437122314640224,1,0.0947265625
1182__600_1800,t_8_16,43.8625,0.4625567050282076,1,0.125
1182__600_1800,t_8_16,43.8625,0.4625567050282076,1,0.189453125
118__0_0,t_8_16,43.8625,0.2777145038956876,1,0.1103515625
118__0_0,t_8_16,43.8625,0.9127400712388828,1,0.1650390625
118__0_0,t_8_16,43.8625,0.854201148740374,1,0.1376953125
12093,t_8_16,44.130434782608695,0.4169925396625915,1,0.0380859375
12093,t_8_16,44.130434782608695,0.4169925396625915,1,0.0712890625
12093,t_8_16,44.130434782608695,0.4130713036478521,1,0.03125
12093,t_8_16,44.130434782608695,0.2274522030242038,1,0.03125
12093,t_8_16,44.130434782608695,0.2274522030242038,1,0.0322265625
12093,t_8_16,44.130434782608695,0.431926509239666,1,0.0361328125
12093,t_8_16,44.130434782608695,0.431926509239666,1,0.111328125
12093,t_8_16,44.130434782608695,0.2124286083361082,1,0.09375
12093,t_8_16,44.130434782608695,0.2124286083361082,1,0.0205078125
12093,t_8_16,44.130434782608695,0.911648024694304,1,0.2041015625
12093,t_8_16,44.130434782608695,0.7922449620538841,1,0.1962890625
12093,t_8_16,44.130434782608695,0.0065817219113796,1,0.0009765625
