adequate_overlap,ci_high,ci_low,contract,coverage_small,coverage_tiny,crude,crude_ci_high,crude_ci_low,estimate,evidence_id,metric,metric_group,orientation,overlap_ci_high,overlap_ci_low,overlap_crude,panel,positive_count,size,source_orientation,source_path,source_sha256,standardized,std_ci_high,std_ci_low,support_note,weighted_proportion
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,1,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.004037508353154789
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,2,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.3663057968237452
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,2,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.006056262529732183
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,3,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.3132349174239343
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,3,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.06257525111300602
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,4,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.15189266114021643
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,4,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.12920026730095327
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,5,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.10805386702126882
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,5,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.20590679765000108
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,6,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.01875617556046967
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,6,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.13323777565410802
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,7,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.010959416351191053
True,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,7,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.11204085680004544
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,8,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.0022286129576653832
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,8,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.110751041939444
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,9,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.0009284006133300082
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,9,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.04542196897299138
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,10,8-16 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.0005577175965080504
False,,,,,,,,,,SOURCE_ADDENDUM,,,,,,,c,10,16-32 px,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/exact_positive_count_strata.csv,8a68539c42a30b5db38ac3ca948f6b862990a885a84b21be335aa99de3c0f365,,,,,0.19077226968656377
,,,,0.6429609485181138,0.6028970374970802,17.446047280898025,22.731058697654806,11.847377923637348,,SOURCE_ADDENDUM,Object Top-1 fragility,,16-32 minus 8-16,10.521896793854491,-1.4572869531873847,4.527623267506642,d,,,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/summary.json,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,2.1565414325771193,9.705296292079165,-4.743855038768318,"full crude, K=3-7 overlap crude, and K=3-7 standardized estimates separate restriction from count-composition changes",
,,,,0.6437797378887825,0.6030742019263944,11.592970839178307,14.661791726317242,8.42197715737035,,SOURCE_ADDENDUM,Directional Top-1 flip,,16-32 minus 8-16,6.629715251170576,0.7951638520972979,3.5921042679396775,d,,,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/summary.json,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,0.8759273216442653,4.47090686247886,-2.1813733264870137,"full crude, K=3-7 overlap crude, and K=3-7 standardized estimates separate restriction from count-composition changes",
,,,,0.6437797378887825,0.6030742019263944,33.15864430173884,34.788544716271076,31.34757811375946,,SOURCE_ADDENDUM,Positive-set turnover,,16-32 minus 8-16,38.87102252620947,34.72543602729851,36.82136017229537,d,,,,runs/20260905_o2m_positive_count_scale_controls_v5/artifact/summary.json,2b232e52716cb5a45ef97f4bf64dd6458308fb639283762a30824e90cc056e9f,41.12786325170713,44.26154228099543,38.23072736119784,"full crude, K=3-7 overlap crude, and K=3-7 standardized estimates separate restriction from count-composition changes",
