authority,ci_high,ci_low,directional_trajectories,estimand,estimate,evidence_id,evidence_version,image_n,kind,metric,n_base_defined,n_base_undefined_excluded,panel,radius,series,size_group,size_label,source_path,source_sha256,statistical_unit,support,tau,unit,weighted_n
final_evidence_v3_bound_output,0.9800965614385512,0.9743500753786738,,o2o,0.9772003420440012,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0302734375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9793858042593672,0.973590140313398,,o2o,0.9764806702286524,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.03125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9789554001937544,0.9730500222021126,,o2o,0.9760005648097116,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0322265625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.978639248848712,0.9727094189419526,,o2o,0.9756413367933648,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.033203125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9784657800284972,0.9724430691992576,,o2o,0.9754418197079568,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0341796875,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9781591337232648,0.9722119533062942,,o2o,0.9751624471570794,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.03515625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9779710325133696,0.9719806583833916,,o2o,0.9749622006020784,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0361328125,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9777539239141624,0.971728355820357,,o2o,0.974722391049139,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.037109375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.9772782428998216,0.9711318188653212,,o2o,0.9742027226322604,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0380859375,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
final_evidence_v3_bound_output,0.976823817952206,0.9706636883716478,,o2o,0.9737226172133197,EV-BOUNDARY-GEOMETRY-V3,V3,300,km_survival,,25084,676,a,0.0390625,O2O identity,t_8_16,8–16 px,runs/20260903_boundary_full_grid_1024_postprocess_v2/tau_01250/survival_cif.csv,1a90951b52587823e82fe89c99a12c8512030f465a66915028285ed8a2773740,focal-GT directional trajectory,,,survival probability,
